player1,player2,player3,player4,player5,seconds played,Defensive Rebounds,available DR,Offensive Rebounds, available OR
"WILLIAMS,JEENATHAN","CARUTHERS,DONTAY","SEGU,RONALDO","HARRIS,JEREMY","FAGAN,TRA'VON",12,0,0,0,0
"MCRAE,MONTELL","PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","JORDAN,DAVONTA",94,2,2,0,3
"SEGU,RONALDO","MCRAE,MONTELL","MASSINBURG,CJ","GRAVES,JAYVON","JORDAN,DAVONTA",72,0,1,0,1
"WILLIAMS,JEENATHAN","PERKINS,NICK","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",41,0,0,0,0
"SEGU,RONALDO","MCRAE,MONTELL","CARUTHERS,DONTAY","PERKINS,NICK","MASSINBURG,CJ",22,1,1,0,0
"MASSINBURG,CJ","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY","JORDAN,DAVONTA",80,1,1,0,2
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MASSINBURG,CJ","BERTRAM,BROCK","GRAVES,JAYVON",70,1,1,0,1
"WILLIAMS,JEENATHAN","JORDAN,DAVONTA","CARUTHERS,DONTAY","MCRAE,MONTELL","HARRIS,JEREMY",40,1,1,0,0
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","GRAVES,JAYVON",33,0,0,1,2
"SEGU,RONALDO","MCRAE,MONTELL","GRAVES,JAYVON","PERKINS,NICK","MASSINBURG,CJ",225,2,2,2,5
"MASSINBURG,CJ","JORDAN,DAVONTA","HARRIS,JEREMY","BERTRAM,BROCK","CARUTHERS,DONTAY",61,1,1,1,1
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","JORDAN,DAVONTA","BERTRAM,BROCK","CARUTHERS,DONTAY",16,0,0,0,0
"PERKINS,NICK","SEGU,RONALDO","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",171,2,2,0,1
"WILLIAMS,JEENATHAN","SEGU,RONALDO","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",38,1,2,1,1
"WILLIAMS,JEENATHAN","SEGU,RONALDO","MCRAE,MONTELL","CARUTHERS,DONTAY","GRAVES,JAYVON",78,0,0,0,0
"SEGU,RONALDO","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","GRAVES,JAYVON",498,0,2,2,6
"WILLIAMS,JEENATHAN","PERKINS,NICK","JORDAN,DAVONTA","GRAVES,JAYVON","HARRIS,JEREMY",380,3,3,0,4
"MASSINBURG,CJ","GRAVES,JAYVON","CARUTHERS,DONTAY","SEGU,RONALDO","FAGAN,TRA'VON",96,2,2,1,1
"MASSINBURG,CJ","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",63,1,2,0,0
"WILLIAMS,JEENATHAN","PERKINS,NICK","MCRAE,MONTELL","CARUTHERS,DONTAY","GRAVES,JAYVON",28,0,0,0,0
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","GRAVES,JAYVON","HARRIS,JEREMY",3888,47,55,20,63
"WILLIAMS,JEENATHAN","MCRAE,MONTELL","JORDAN,DAVONTA","PERKINS,NICK","MASSINBURG,CJ",90,0,0,0,1
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","MCRAE,MONTELL","HARRIS,JEREMY","JORDAN,DAVONTA",146,1,2,0,1
"JORDAN,DAVONTA","CARUTHERS,DONTAY","SEGU,RONALDO","MCRAE,MONTELL","FAGAN,TRA'VON",43,1,1,0,1
"PERKINS,NICK","MASSINBURG,CJ","SEGU,RONALDO","FAGAN,TRA'VON","GRAVES,JAYVON",132,1,2,0,1
"JORDAN,DAVONTA","GRAVES,JAYVON","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY",66,0,0,0,3
"MASSINBURG,CJ","MCRAE,MONTELL","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",316,3,4,0,6
"WILLIAMS,JEENATHAN","PERKINS,NICK","JORDAN,DAVONTA","CARUTHERS,DONTAY","GRAVES,JAYVON",407,7,11,0,7
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","JORDAN,DAVONTA",429,3,5,4,9
"MASSINBURG,CJ","SEGU,RONALDO","HARRIS,JEREMY","BERTRAM,BROCK","CARUTHERS,DONTAY",79,1,2,1,2
"PERKINS,NICK","MASSINBURG,CJ","SEGU,RONALDO","HARRIS,JEREMY","JORDAN,DAVONTA",28,1,1,0,0
"MASSINBURG,CJ","JORDAN,DAVONTA","GRAVES,JAYVON","CARUTHERS,DONTAY","FAGAN,TRA'VON",49,0,0,0,1
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","HARRIS,JEREMY",62,1,2,1,3
"PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","HARRIS,JEREMY","FAGAN,TRA'VON",220,2,3,0,2
