player1,player2,player3,player4,player5,minutes played,DR,available DR,OR, available OR
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","GRAVES,JAYVON",8,0,0,0,0
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","HARRIS,JEREMY",119,2,2,0,0
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",77,2,2,0,1
"MASSINBURG,CJ","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON","CARUTHERS,DONTAY",63,1,2,0,0
"PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","MCRAE,MONTELL","HARRIS,JEREMY",26,0,0,0,0
"WILLIAMS,JEENATHAN","MASSINBURG,CJ","MCRAE,MONTELL","HARRIS,JEREMY","JORDAN,DAVONTA",108,0,1,0,1
"WILLIAMS,JEENATHAN","MCRAE,MONTELL","JORDAN,DAVONTA","PERKINS,NICK","MASSINBURG,CJ",90,0,0,0,1
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","GRAVES,JAYVON","HARRIS,JEREMY",62,1,2,1,3
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","CARUTHERS,DONTAY","FAGAN,TRA'VON",101,1,1,1,2
"MCRAE,MONTELL","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","JORDAN,DAVONTA",89,2,3,1,2
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","JORDAN,DAVONTA",39,0,1,1,1
"WILLIAMS,JEENATHAN","PERKINS,NICK","JORDAN,DAVONTA","CARUTHERS,DONTAY","HARRIS,JEREMY",72,2,2,0,1
"MASSINBURG,CJ","JORDAN,DAVONTA","HARRIS,JEREMY","BERTRAM,BROCK","GRAVES,JAYVON",110,0,0,2,2
"JORDAN,DAVONTA","CARUTHERS,DONTAY","SEGU,RONALDO","MCRAE,MONTELL","FAGAN,TRA'VON",43,1,1,0,1
"PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","SEGU,RONALDO","HARRIS,JEREMY",40,0,0,0,0
"PERKINS,NICK","MASSINBURG,CJ","JORDAN,DAVONTA","GRAVES,JAYVON","HARRIS,JEREMY",432,6,7,2,7
"PERKINS,NICK","JORDAN,DAVONTA","GRAVES,JAYVON","SEGU,RONALDO","HARRIS,JEREMY",47,0,0,0,0
"MASSINBURG,CJ","MCRAE,MONTELL","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",130,1,2,0,3
"WILLIAMS,JEENATHAN","PERKINS,NICK","MASSINBURG,CJ","CARUTHERS,DONTAY","HARRIS,JEREMY",159,1,1,3,7
"JORDAN,DAVONTA","GRAVES,JAYVON","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY",66,0,0,0,3
"PERKINS,NICK","MASSINBURG,CJ","HARRIS,JEREMY","CARUTHERS,DONTAY","GRAVES,JAYVON",154,0,3,1,1
"MASSINBURG,CJ","JORDAN,DAVONTA","GRAVES,JAYVON","MCRAE,MONTELL","HARRIS,JEREMY",326,3,5,3,7
"MASSINBURG,CJ","CARUTHERS,DONTAY","SEGU,RONALDO","MCRAE,MONTELL","HARRIS,JEREMY",66,0,0,0,1
